MobilePhoneList [2009-06-29 08:00:00] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"20","DoCoMo","KO209i","KO209i","DoCoMo/1.0/KO209i","mova","2.0","96","96","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-02","","","2008-01-17 18:21:30"
"21","DoCoMo","N209i","N209i","DoCoMo/1.0/N209i","mova","2.0","108","82","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-06","","","2008-01-04 10:48:17"
"22","DoCoMo","P209i","P209i","DoCoMo/1.0/P209i","mova","2.0","96","87","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-06","","","2008-01-04 10:49:15"
"23","DoCoMo","P209iS","P209iS","DoCoMo/1.0/P209is","mova","2.0","96","87","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-08","","","2009-04-05 10:35:42"
"24","DoCoMo","R209i","R209i","DoCoMo/1.0/R209i","mova","2.0","96","72","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-10","","","2008-01-04 10:51:06"
"25","DoCoMo","P651ps","P651ps","DoCoMo/1.0/P651ps","mova","2.0","96","87","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-01","","","2008-01-04 10:52:43"
"26","DoCoMo","R691i","R691i","DoCoMo/1.0/R691i","mova","2.0","96","72","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-02","","","2008-01-07 11:11:56"
"27","DoCoMo","F671i","F671i","DoCoMo/1.0/F671i","mova","2.0","120","126","256","10","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-09","","","2008-01-07 11:11:34"
"28","DoCoMo","F210i","F210i","DoCoMo/1.0/F210i","mova","2.0","96","113","256","10","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-04","","","2008-01-07 11:21:10"
"29","DoCoMo","N210i","N210i","DoCoMo/1.0/N210i","mova","2.0","118","113","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-04","","","2008-01-10 19:54:33"
"30","DoCoMo","P210i","P210i","DoCoMo/1.0/P210i","mova","2.0","96","91","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-05","","","2008-01-17 18:21:30"
"31","DoCoMo","KO210i","KO210i","DoCoMo/1.0/KO210i","mova","2.0","96","96","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-08","","","2008-01-17 18:21:30"
"32","DoCoMo","F503i","F503i","DoCoMo/1.0/F503i","mova","3.0","120","130","256","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-01","","","2008-01-07 11:28:35"
"33","DoCoMo","F503iS","F503iS","DoCoMo/1.0/F503iS","mova","3.0","120","130","4096","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-08","","","2009-06-24 03:29:12"
"34","DoCoMo","P503i","P503i","DoCoMo/1.0/P503i","mova","3.0","120","130","256","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-01","","","2008-01-07 11:27:01"
