MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"32","DoCoMo","F503i","F503i","DoCoMo/1.0/F503i","mova","3.0","120","130","256","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-01","","","2008-01-07 11:28:35"
"33","DoCoMo","F503iS","F503iS","DoCoMo/1.0/F503iS","mova","3.0","120","130","4096","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-08","","","2009-06-24 03:29:12"
"34","DoCoMo","P503i","P503i","DoCoMo/1.0/P503i","mova","3.0","120","130","256","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-01","","","2008-01-07 11:27:01"
"35","DoCoMo","P503iS","P503iS","DoCoMo/1.0/P503iS","mova","3.0","120","130","256","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-05","","","2008-01-07 11:28:15"
"36","DoCoMo","N503i","N503i","DoCoMo/1.0/N503i","mova","3.0","118","128","4096","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-03","","","2008-01-08 21:04:57"
"37","DoCoMo","N503iS","N503iS","DoCoMo/1.0/N503iS","mova","3.0","118","128","4096","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2001-08","","","2008-01-08 21:09:02"
"38","DoCoMo","SO503i","SO503i","DoCoMo/1.0/SO503i","mova","3.0","120","113","65536","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-03","","","2008-01-08 21:10:55"
"39","DoCoMo","SO503iS","SO503iS","DoCoMo/1.0/SO503iS","mova","3.0","120","113","65536","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-09","","","2009-10-29 21:27:49"
"40","DoCoMo","D503i","D503i","DoCoMo/1.0/D503i","mova","3.0","132","126","4096","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-03","","","2008-01-08 21:13:55"
"41","DoCoMo","D503iS","D503iS","DoCoMo/1.0/D503iS","mova","3.0","132","126","4096","10","1","0","0","0","","","1","0","1","1","1","0","0","0","2001-09","","","2008-01-08 21:15:15"
"42","DoCoMo","D210i","D210i","DoCoMo/1.0/D210i","mova","3.0","96","91","256","10","1","0","0","0","","","0","0","1","1","1","0","0","0","2001-04","","","2008-01-08 21:17:08"
"43","DoCoMo","SO210i","SO210i","DoCoMo/1.0/SO210i","mova","3.0","120","113","256","10","1","0","0","0","","","0","0","1","1","1","0","0","0","2001-08","","","2008-01-08 21:19:24"
